Category: All categories

Week,innisfree: (Texas)
2022-01-02,66
2022-01-09,51
2022-01-16,27
2022-01-23,31
2022-01-30,25
2022-02-06,48
2022-02-13,44
2022-02-20,43
2022-02-27,47
2022-03-06,51
2022-03-13,61
2022-03-20,27
2022-03-27,37
2022-04-03,27
2022-04-10,31
2022-04-17,56
2022-04-24,43
2022-05-01,19
2022-05-08,53
2022-05-15,51
2022-05-22,30
2022-05-29,45
2022-06-05,59
2022-06-12,19
2022-06-19,61
2022-06-26,57
2022-07-03,47
2022-07-10,88
2022-07-17,49
2022-07-24,56
2022-07-31,36
2022-08-07,100
2022-08-14,41
2022-08-21,51
2022-08-28,50
2022-09-04,75
2022-09-11,64
2022-09-18,41
2022-09-25,44
2022-10-02,43
2022-10-09,16
2022-10-16,25
2022-10-23,60
2022-10-30,17
2022-11-06,50
2022-11-13,64
2022-11-20,65
2022-11-27,54
2022-12-04,51
2022-12-11,64
2022-12-18,47
2022-12-25,99
