Category: All categories

Week,kbbq: (Texas)
2022-01-02,97
2022-01-09,75
2022-01-16,55
2022-01-23,49
2022-01-30,47
2022-02-06,44
2022-02-13,72
2022-02-20,62
2022-02-27,46
2022-03-06,65
2022-03-13,57
2022-03-20,47
2022-03-27,44
2022-04-03,46
2022-04-10,81
2022-04-17,73
2022-04-24,43
2022-05-01,65
2022-05-08,64
2022-05-15,54
2022-05-22,39
2022-05-29,59
2022-06-05,60
2022-06-12,75
2022-06-19,39
2022-06-26,61
2022-07-03,67
2022-07-10,95
2022-07-17,76
2022-07-24,68
2022-07-31,75
2022-08-07,75
2022-08-14,81
2022-08-21,76
2022-08-28,59
2022-09-04,82
2022-09-11,62
2022-09-18,79
2022-09-25,57
2022-10-02,51
2022-10-09,68
2022-10-16,66
2022-10-23,67
2022-10-30,70
2022-11-06,62
2022-11-13,74
2022-11-20,73
2022-11-27,45
2022-12-04,54
2022-12-11,83
2022-12-18,79
2022-12-25,100
