Category: All categories

Week,korean food: (Texas)
2022-01-02,76
2022-01-09,78
2022-01-16,69
2022-01-23,81
2022-01-30,75
2022-02-06,89
2022-02-13,97
2022-02-20,83
2022-02-27,90
2022-03-06,91
2022-03-13,77
2022-03-20,67
2022-03-27,100
2022-04-03,77
2022-04-10,69
2022-04-17,83
2022-04-24,88
2022-05-01,71
2022-05-08,80
2022-05-15,81
2022-05-22,84
2022-05-29,80
2022-06-05,89
2022-06-12,76
2022-06-19,82
2022-06-26,85
2022-07-03,83
2022-07-10,76
2022-07-17,92
2022-07-24,91
2022-07-31,85
2022-08-07,60
2022-08-14,70
2022-08-21,85
2022-08-28,69
2022-09-04,75
2022-09-11,78
2022-09-18,72
2022-09-25,65
2022-10-02,71
2022-10-09,77
2022-10-16,75
2022-10-23,95
2022-10-30,71
2022-11-06,55
2022-11-13,73
2022-11-20,69
2022-11-27,64
2022-12-04,66
2022-12-11,71
2022-12-18,61
2022-12-25,99
