Category: All categories

Week,kpop: (Texas)
2022-01-02,79
2022-01-09,64
2022-01-16,55
2022-01-23,64
2022-01-30,63
2022-02-06,62
2022-02-13,57
2022-02-20,65
2022-02-27,64
2022-03-06,66
2022-03-13,75
2022-03-20,70
2022-03-27,65
2022-04-03,66
2022-04-10,62
2022-04-17,70
2022-04-24,60
2022-05-01,61
2022-05-08,58
2022-05-15,60
2022-05-22,65
2022-05-29,69
2022-06-05,66
2022-06-12,74
2022-06-19,71
2022-06-26,69
2022-07-03,78
2022-07-10,67
2022-07-17,75
2022-07-24,100
2022-07-31,89
2022-08-07,67
2022-08-14,62
2022-08-21,65
2022-08-28,58
2022-09-04,60
2022-09-11,49
2022-09-18,57
2022-09-25,50
2022-10-02,57
2022-10-09,58
2022-10-16,51
2022-10-23,59
2022-10-30,62
2022-11-06,54
2022-11-13,57
2022-11-20,59
2022-11-27,58
2022-12-04,53
2022-12-11,58
2022-12-18,63
2022-12-25,75
