Category: All categories

Week,laneige: (Texas)
2022-01-02,44
2022-01-09,33
2022-01-16,29
2022-01-23,31
2022-01-30,32
2022-02-06,39
2022-02-13,33
2022-02-20,33
2022-02-27,24
2022-03-06,23
2022-03-13,29
2022-03-20,22
2022-03-27,25
2022-04-03,19
2022-04-10,28
2022-04-17,25
2022-04-24,18
2022-05-01,18
2022-05-08,14
2022-05-15,22
2022-05-22,17
2022-05-29,32
2022-06-05,25
2022-06-12,23
2022-06-19,17
2022-06-26,18
2022-07-03,28
2022-07-10,40
2022-07-17,39
2022-07-24,28
2022-07-31,35
2022-08-07,31
2022-08-14,18
2022-08-21,19
2022-08-28,22
2022-09-04,32
2022-09-11,28
2022-09-18,23
2022-09-25,32
2022-10-02,38
2022-10-09,52
2022-10-16,41
2022-10-23,36
2022-10-30,27
2022-11-06,51
2022-11-13,47
2022-11-20,93
2022-11-27,78
2022-12-04,65
2022-12-11,74
2022-12-18,100
2022-12-25,89
