Category: All categories

Week,korean makeup: (California),korean cosmetics: (California),korean skincare: (California),kpop makeup: (California),korean beauty product: (California)
2022-01-02,57,0,26,17,0
2022-01-09,48,9,40,10,0
2022-01-16,19,6,44,0,0
2022-01-23,28,0,34,32,0
2022-01-30,35,0,25,9,0
2022-02-06,49,6,23,0,0
2022-02-13,40,11,37,10,0
2022-02-20,41,0,29,23,0
2022-02-27,33,7,34,0,0
2022-03-06,39,0,43,0,0
2022-03-13,37,13,40,0,0
2022-03-20,47,0,35,5,0
2022-03-27,37,0,38,8,0
2022-04-03,48,6,37,0,0
2022-04-10,40,4,42,5,0
2022-04-17,38,0,62,0,0
2022-04-24,30,0,46,0,0
2022-05-01,43,0,29,0,0
2022-05-08,32,0,53,7,0
2022-05-15,45,0,49,12,0
2022-05-22,42,10,55,17,0
2022-05-29,53,21,38,0,0
2022-06-05,40,0,40,5,0
2022-06-12,40,9,29,0,0
2022-06-19,29,11,37,9,0
2022-06-26,38,18,49,0,0
2022-07-03,37,9,40,13,0
2022-07-10,26,5,65,5,0
2022-07-17,51,9,40,0,0
2022-07-24,39,7,24,0,0
2022-07-31,31,6,42,13,0
2022-08-07,44,9,58,6,0
2022-08-14,25,0,66,0,0
2022-08-21,31,0,66,0,0
2022-08-28,26,14,67,14,0
2022-09-04,32,0,46,0,0
2022-09-11,37,10,64,0,0
2022-09-18,30,8,45,9,0
2022-09-25,28,13,18,13,0
2022-10-02,31,0,40,0,0
2022-10-09,39,29,36,0,0
2022-10-16,25,0,23,0,0
2022-10-23,32,16,48,0,0
2022-10-30,39,0,28,0,0
2022-11-06,19,0,47,0,0
2022-11-13,13,0,48,0,0
2022-11-20,60,10,76,8,0
2022-11-27,41,6,68,18,0
2022-12-04,28,8,54,5,0
2022-12-11,40,8,40,0,0
2022-12-18,42,11,52,8,0
2022-12-25,48,5,100,7,0
