Category: All categories

Week,kbbq: (California),korean food: (California),kimchi: (California),korean restaurant: (California),soju: (California)
2022-01-02,46,57,94,43,51
2022-01-09,45,48,88,46,51
2022-01-16,42,49,91,35,52
2022-01-23,41,54,92,39,50
2022-01-30,52,55,100,46,43
2022-02-06,53,55,91,46,50
2022-02-13,58,57,87,46,49
2022-02-20,56,66,96,50,59
2022-02-27,50,55,80,40,44
2022-03-06,50,58,82,43,53
2022-03-13,60,59,77,43,52
2022-03-20,59,66,87,45,51
2022-03-27,47,64,78,46,48
2022-04-03,50,60,77,44,45
2022-04-10,49,58,73,43,61
2022-04-17,48,56,84,39,52
2022-04-24,54,59,88,36,56
2022-05-01,54,59,78,46,48
2022-05-08,47,58,79,43,51
2022-05-15,49,60,86,37,55
2022-05-22,51,58,75,41,48
2022-05-29,52,60,79,44,50
2022-06-05,48,53,78,41,52
2022-06-12,60,57,89,40,50
2022-06-19,51,66,85,42,51
2022-06-26,49,57,79,46,58
2022-07-03,57,60,80,52,64
2022-07-10,46,49,75,45,54
2022-07-17,52,68,88,47,50
2022-07-24,51,64,90,44,63
2022-07-31,53,61,85,47,54
2022-08-07,56,57,83,47,55
2022-08-14,58,60,69,51,55
2022-08-21,46,54,78,37,53
2022-08-28,43,48,73,38,45
2022-09-04,49,63,81,46,53
2022-09-11,42,53,79,39,46
2022-09-18,50,59,77,39,49
2022-09-25,47,60,78,39,47
2022-10-02,51,60,83,44,44
2022-10-09,53,52,87,43,44
2022-10-16,43,55,85,38,53
2022-10-23,41,50,71,39,43
2022-10-30,46,57,80,37,48
2022-11-06,54,56,76,32,46
2022-11-13,46,58,81,39,46
2022-11-20,57,51,89,40,60
2022-11-27,38,49,88,32,47
2022-12-04,49,58,80,43,48
2022-12-11,50,63,89,38,48
2022-12-18,61,59,85,50,59
2022-12-25,77,73,99,53,84
