Category: All categories

Week,korean drama: (California),kpop: (California),korean movie: (California),learn korean: (California),kdrama: (California)
2022-01-02,18,76,15,2,42
2022-01-09,17,74,13,2,36
2022-01-16,17,61,11,1,34
2022-01-23,17,64,10,1,30
2022-01-30,20,64,12,1,31
2022-02-06,14,58,11,1,31
2022-02-13,16,64,12,1,39
2022-02-20,17,68,14,2,39
2022-02-27,15,64,12,2,48
2022-03-06,14,60,11,2,46
2022-03-13,16,62,11,1,51
2022-03-20,15,70,12,2,50
2022-03-27,15,69,9,2,43
2022-04-03,14,74,9,1,42
2022-04-10,15,68,13,1,45
2022-04-17,13,74,11,1,37
2022-04-24,15,69,9,1,42
2022-05-01,13,66,9,1,41
2022-05-08,13,68,9,2,40
2022-05-15,13,76,11,2,37
2022-05-22,14,65,12,2,38
2022-05-29,15,70,13,2,40
2022-06-05,13,66,13,2,42
2022-06-12,15,66,12,1,42
2022-06-19,16,71,13,1,42
2022-06-26,16,76,10,1,41
2022-07-03,16,78,14,1,43
2022-07-10,15,72,12,2,40
2022-07-17,15,91,13,2,40
2022-07-24,15,100,12,1,39
2022-07-31,17,89,14,1,39
2022-08-07,18,80,14,1,34
2022-08-14,19,83,13,2,33
2022-08-21,19,72,12,1,32
2022-08-28,15,67,12,1,32
2022-09-04,14,64,11,2,38
2022-09-11,14,62,11,1,36
2022-09-18,13,65,9,1,37
2022-09-25,13,58,13,1,38
2022-10-02,16,62,11,1,42
2022-10-09,15,66,13,1,41
2022-10-16,12,64,9,2,36
2022-10-23,14,58,12,1,36
2022-10-30,11,62,10,1,38
2022-11-06,13,60,12,1,39
2022-11-13,13,63,11,1,37
2022-11-20,16,73,12,1,47
2022-11-27,15,72,11,1,34
2022-12-04,11,63,12,2,37
2022-12-11,12,62,11,1,35
2022-12-18,13,70,13,1,40
2022-12-25,17,74,15,1,51
