Category: All categories

Week,korea flight: (California),korea hotel: (California),korea airbnb: (California),korea vacation: (California),korea tourism: (California)
2022-01-02,31,30,0,0,0
2022-01-09,54,49,0,0,10
2022-01-16,40,0,15,0,0
2022-01-23,34,45,0,11,0
2022-01-30,25,39,0,0,21
2022-02-06,48,27,0,0,0
2022-02-13,40,0,8,0,9
2022-02-20,51,35,0,0,13
2022-02-27,32,13,0,0,0
2022-03-06,42,27,0,26,15
2022-03-13,74,40,9,8,22
2022-03-20,84,41,18,7,31
2022-03-27,55,23,0,7,17
2022-04-03,73,25,0,10,12
2022-04-10,71,45,0,9,24
2022-04-17,94,37,14,8,10
2022-04-24,63,35,0,6,20
2022-05-01,83,31,0,0,17
2022-05-08,56,31,17,0,16
2022-05-15,93,31,17,8,22
2022-05-22,87,58,0,0,37
2022-05-29,98,46,14,18,17
2022-06-05,66,24,14,32,24
2022-06-12,80,53,0,0,47
2022-06-19,75,42,0,0,18
2022-06-26,71,53,18,23,20
2022-07-03,75,31,11,0,12
2022-07-10,92,50,7,8,0
2022-07-17,54,52,0,8,17
2022-07-24,68,36,23,0,34
2022-07-31,100,54,0,12,15
2022-08-07,87,64,0,12,0
2022-08-14,72,54,0,0,18
2022-08-21,74,26,0,12,10
2022-08-28,69,39,0,0,13
2022-09-04,82,36,0,0,8
2022-09-11,59,74,32,8,0
2022-09-18,78,38,8,0,0
2022-09-25,71,65,9,0,20
2022-10-02,85,67,8,0,0
2022-10-09,76,48,20,10,0
2022-10-16,65,61,9,0,20
2022-10-23,73,64,18,15,0
2022-10-30,68,49,0,15,0
2022-11-06,74,18,0,0,0
2022-11-13,76,48,0,0,0
2022-11-20,84,23,20,0,0
2022-11-27,78,30,7,10,0
2022-12-04,64,31,0,0,6
2022-12-11,49,16,15,13,0
2022-12-18,87,18,0,0,0
2022-12-25,79,84,0,0,16
