Category: All categories

Week,korean makeup: (Florida),korean cosmetics: (Florida),korean skincare: (Florida),kpop makeup: (Florida),korean beauty product: (Florida)
2022-01-02,37,0,85,0,0
2022-01-09,41,0,0,0,0
2022-01-16,27,24,61,32,0
2022-01-23,21,36,0,0,0
2022-01-30,35,0,20,0,0
2022-02-06,31,0,100,0,0
2022-02-13,0,26,45,0,0
2022-02-20,15,0,16,0,0
2022-02-27,33,0,82,0,0
2022-03-06,0,0,32,14,0
2022-03-13,16,0,31,0,0
2022-03-20,22,20,33,0,0
2022-03-27,39,0,34,0,0
2022-04-03,41,0,41,34,0
2022-04-10,25,0,32,0,0
2022-04-17,31,0,26,0,0
2022-04-24,46,21,18,0,0
2022-05-01,0,0,95,68,0
2022-05-08,0,16,21,28,0
2022-05-15,38,0,70,19,0
2022-05-22,29,19,0,0,0
2022-05-29,43,33,48,20,0
2022-06-05,36,0,31,53,0
2022-06-12,57,0,17,0,0
2022-06-19,26,38,16,18,0
2022-06-26,45,16,17,0,0
2022-07-03,45,0,29,0,0
2022-07-10,33,0,75,37,0
2022-07-17,22,0,45,0,0
2022-07-24,78,19,41,0,0
2022-07-31,30,0,16,0,0
2022-08-07,43,0,95,0,0
2022-08-14,0,0,61,0,0
2022-08-21,37,0,41,0,0
2022-08-28,37,0,34,0,0
2022-09-04,21,0,0,0,0
2022-09-11,19,0,41,0,0
2022-09-18,0,0,39,0,0
2022-09-25,28,0,22,0,0
2022-10-02,56,0,35,0,0
2022-10-09,51,17,51,17,0
2022-10-16,0,17,32,38,0
2022-10-23,22,0,0,0,0
2022-10-30,30,23,24,0,0
2022-11-06,16,0,56,29,0
2022-11-13,26,0,28,0,0
2022-11-20,20,0,54,0,0
2022-11-27,49,0,43,37,0
2022-12-04,0,0,31,0,0
2022-12-11,20,0,85,25,0
2022-12-18,24,0,0,0,0
2022-12-25,46,0,60,0,0
