Category: All categories

Week,kbbq: (Florida),korean food: (Florida),kimchi: (Florida),korean restaurant: (Florida),soju: (Florida)
2022-01-02,8,45,76,46,28
2022-01-09,0,36,84,51,24
2022-01-16,6,32,70,59,29
2022-01-23,4,42,100,57,35
2022-01-30,3,39,80,55,25
2022-02-06,5,54,85,47,17
2022-02-13,4,40,83,75,25
2022-02-20,5,44,80,62,31
2022-02-27,4,40,73,48,26
2022-03-06,3,44,72,44,32
2022-03-13,3,50,79,50,32
2022-03-20,2,30,93,59,28
2022-03-27,3,31,78,50,23
2022-04-03,7,48,74,46,24
2022-04-10,6,46,100,57,44
2022-04-17,6,40,70,57,37
2022-04-24,8,36,73,47,35
2022-05-01,0,41,63,58,27
2022-05-08,6,34,80,64,24
2022-05-15,0,27,83,53,21
2022-05-22,6,47,80,57,28
2022-05-29,3,45,94,60,19
2022-06-05,0,31,93,57,23
2022-06-12,5,32,78,62,31
2022-06-19,12,41,86,62,32
2022-06-26,4,42,83,57,25
2022-07-03,12,40,97,53,34
2022-07-10,12,44,97,55,30
2022-07-17,8,49,74,72,27
2022-07-24,4,54,75,56,30
2022-07-31,5,31,86,58,20
2022-08-07,8,44,83,47,26
2022-08-14,4,45,78,67,21
2022-08-21,6,50,69,54,39
2022-08-28,8,37,55,45,35
2022-09-04,3,43,73,45,24
2022-09-11,3,44,74,42,26
2022-09-18,3,33,79,45,25
2022-09-25,9,35,58,35,20
2022-10-02,3,38,88,46,16
2022-10-09,10,36,75,54,26
2022-10-16,8,31,65,48,29
2022-10-23,10,32,55,43,25
2022-10-30,9,48,67,49,21
2022-11-06,14,31,74,33,17
2022-11-13,0,30,98,44,30
2022-11-20,12,37,58,33,27
2022-11-27,5,34,83,45,19
2022-12-04,4,49,67,35,18
2022-12-11,10,36,74,41,23
2022-12-18,5,31,73,47,31
2022-12-25,13,48,95,67,41
