Category: All categories

Week,korean drama: (Florida),kpop: (Florida),korean movie: (Florida),learn korean: (Florida),kdrama: (Florida)
2022-01-02,12,83,9,3,30
2022-01-09,13,60,8,2,24
2022-01-16,13,62,10,3,24
2022-01-23,12,66,8,3,25
2022-01-30,13,54,9,1,25
2022-02-06,7,57,14,1,23
2022-02-13,8,72,10,5,29
2022-02-20,10,71,7,2,30
2022-02-27,9,61,6,1,39
2022-03-06,12,66,8,2,32
2022-03-13,11,71,9,3,42
2022-03-20,10,71,9,3,40
2022-03-27,10,72,10,2,31
2022-04-03,9,65,6,3,30
2022-04-10,11,73,8,2,36
2022-04-17,9,76,8,3,37
2022-04-24,10,66,6,2,38
2022-05-01,8,68,7,2,32
2022-05-08,10,80,7,3,32
2022-05-15,11,64,7,2,34
2022-05-22,10,77,11,3,27
2022-05-29,11,71,9,1,25
2022-06-05,9,70,10,1,34
2022-06-12,10,84,6,3,40
2022-06-19,12,83,9,3,39
2022-06-26,13,72,11,1,45
2022-07-03,10,88,9,2,34
2022-07-10,9,73,9,3,32
2022-07-17,12,84,9,1,31
2022-07-24,12,100,11,0,34
2022-07-31,10,88,10,2,33
2022-08-07,16,81,9,2,33
2022-08-14,14,70,9,1,31
2022-08-21,10,67,8,2,28
2022-08-28,10,66,2,2,22
2022-09-04,12,62,8,0,31
2022-09-11,7,61,6,0,30
2022-09-18,4,60,6,0,29
2022-09-25,9,54,8,1,33
2022-10-02,10,64,7,2,31
2022-10-09,12,68,4,0,35
2022-10-16,8,66,11,0,28
2022-10-23,7,62,7,1,30
2022-10-30,10,72,8,2,31
2022-11-06,9,61,10,0,29
2022-11-13,12,77,8,2,37
2022-11-20,10,86,8,1,42
2022-11-27,6,73,9,3,30
2022-12-04,9,67,8,2,32
2022-12-11,8,67,10,0,30
2022-12-18,8,63,10,0,32
2022-12-25,8,85,11,1,39
