Category: All categories

Week,korean makeup: (New York),korean cosmetics: (New York),korean skincare: (New York),kpop makeup: (New York),korean beauty product: (New York)
2022-01-02,20,46,31,0,0
2022-01-09,15,0,31,0,0
2022-01-16,13,49,0,14,0
2022-01-23,34,33,14,43,0
2022-01-30,21,23,51,0,0
2022-02-06,28,28,39,15,0
2022-02-13,32,34,43,0,0
2022-02-20,11,31,53,8,0
2022-02-27,19,10,32,0,0
2022-03-06,44,19,36,0,0
2022-03-13,34,9,13,0,0
2022-03-20,33,23,40,0,0
2022-03-27,0,23,41,0,0
2022-04-03,24,16,37,8,0
2022-04-10,34,25,54,0,0
2022-04-17,0,63,32,0,0
2022-04-24,41,24,30,0,0
2022-05-01,32,19,28,0,0
2022-05-08,30,24,20,0,0
2022-05-15,28,13,36,11,0
2022-05-22,27,25,24,21,0
2022-05-29,25,15,51,10,0
2022-06-05,41,23,17,0,0
2022-06-12,0,0,29,10,0
2022-06-19,21,24,51,32,0
2022-06-26,31,8,62,0,0
2022-07-03,29,27,27,0,0
2022-07-10,19,15,28,0,0
2022-07-17,37,13,31,0,0
2022-07-24,22,33,56,9,0
2022-07-31,21,23,55,0,0
2022-08-07,33,16,70,0,0
2022-08-14,48,0,66,11,0
2022-08-21,33,43,31,0,0
2022-08-28,37,14,57,0,0
2022-09-04,38,29,44,0,0
2022-09-11,0,33,43,30,0
2022-09-18,30,22,43,0,0
2022-09-25,49,14,46,19,0
2022-10-02,35,37,48,0,0
2022-10-09,44,12,36,0,0
2022-10-16,38,30,18,0,0
2022-10-23,27,10,35,7,0
2022-10-30,28,32,32,0,0
2022-11-06,19,12,49,0,0
2022-11-13,21,12,27,0,0
2022-11-20,43,38,70,0,0
2022-11-27,42,22,68,8,0
2022-12-04,47,21,20,25,0
2022-12-11,22,23,46,16,0
2022-12-18,47,10,37,0,0
2022-12-25,47,26,100,0,0
