Category: All categories

Week,kbbq: (New York),korean food: (New York),kimchi: (New York),korean restaurant: (New York),soju: (New York)
2022-01-02,3,41,100,35,32
2022-01-09,12,51,99,49,38
2022-01-16,7,27,80,33,31
2022-01-23,15,39,82,35,44
2022-01-30,9,50,87,40,41
2022-02-06,10,55,80,37,41
2022-02-13,14,47,89,52,45
2022-02-20,14,48,90,53,40
2022-02-27,15,34,82,49,41
2022-03-06,17,54,84,51,46
2022-03-13,19,56,89,45,48
2022-03-20,17,48,81,46,47
2022-03-27,11,42,81,55,40
2022-04-03,8,48,79,50,32
2022-04-10,14,55,92,53,50
2022-04-17,13,62,83,44,44
2022-04-24,16,52,80,52,35
2022-05-01,13,46,83,51,34
2022-05-08,10,54,75,49,39
2022-05-15,12,55,73,43,40
2022-05-22,21,48,77,45,31
2022-05-29,7,41,79,33,44
2022-06-05,18,54,78,47,43
2022-06-12,15,44,82,54,41
2022-06-19,20,47,73,49,37
2022-06-26,14,55,85,50,50
2022-07-03,15,61,83,44,46
2022-07-10,10,51,77,45,42
2022-07-17,9,63,77,51,48
2022-07-24,14,47,60,38,53
2022-07-31,22,47,75,45,41
2022-08-07,15,52,68,42,47
2022-08-14,17,53,77,50,43
2022-08-21,21,57,84,56,44
2022-08-28,12,47,72,43,40
2022-09-04,13,60,78,45,40
2022-09-11,13,48,69,40,40
2022-09-18,12,42,69,45,45
2022-09-25,19,50,77,41,30
2022-10-02,13,44,75,41,34
2022-10-09,13,49,90,40,49
2022-10-16,17,41,78,45,44
2022-10-23,9,57,80,40,29
2022-10-30,16,52,63,42,35
2022-11-06,19,54,83,45,39
2022-11-13,17,56,85,49,42
2022-11-20,19,45,65,50,53
2022-11-27,5,35,66,43,27
2022-12-04,18,47,86,34,36
2022-12-11,19,45,70,47,37
2022-12-18,20,46,77,48,45
2022-12-25,21,63,82,55,48
