Category: All categories

Week,korean drama: (New York),kpop: (New York),korean movie: (New York),learn korean: (New York),kdrama: (New York)
2022-01-02,15,73,12,3,36
2022-01-09,17,79,16,0,38
2022-01-16,15,65,13,2,35
2022-01-23,17,60,13,6,30
2022-01-30,15,60,16,3,29
2022-02-06,15,63,10,1,31
2022-02-13,16,63,11,2,36
2022-02-20,17,72,14,3,50
2022-02-27,13,73,13,2,41
2022-03-06,15,66,13,3,47
2022-03-13,14,67,14,4,50
2022-03-20,13,70,9,1,54
2022-03-27,13,71,11,2,38
2022-04-03,15,74,10,2,40
2022-04-10,13,74,14,2,43
2022-04-17,14,84,12,1,40
2022-04-24,14,63,10,1,42
2022-05-01,14,66,10,1,41
2022-05-08,12,67,11,3,42
2022-05-15,13,66,11,2,36
2022-05-22,13,67,12,2,38
2022-05-29,12,65,12,0,39
2022-06-05,13,62,10,3,36
2022-06-12,11,65,12,2,39
2022-06-19,12,70,9,3,38
2022-06-26,14,80,12,3,45
2022-07-03,14,79,10,0,42
2022-07-10,14,67,14,0,34
2022-07-17,13,89,13,1,39
2022-07-24,11,90,13,2,36
2022-07-31,14,89,17,2,44
2022-08-07,15,78,14,1,38
2022-08-14,14,80,14,1,34
2022-08-21,15,75,11,3,35
2022-08-28,13,77,11,1,35
2022-09-04,13,66,11,2,38
2022-09-11,9,67,12,1,32
2022-09-18,11,60,10,2,39
2022-09-25,14,59,9,1,39
2022-10-02,9,63,10,3,44
2022-10-09,13,77,9,2,42
2022-10-16,12,76,11,3,39
2022-10-23,10,68,11,2,37
2022-10-30,13,70,13,1,39
2022-11-06,14,75,10,1,35
2022-11-13,11,78,10,2,39
2022-11-20,11,83,13,1,44
2022-11-27,13,86,13,1,32
2022-12-04,8,100,11,2,35
2022-12-11,13,76,12,2,36
2022-12-18,12,67,15,2,37
2022-12-25,16,81,13,1,55
