Category: All categories

Week,korea flight: (New York),korea hotel: (New York),korea airbnb: (New York),korea vacation: (New York),korea tourism: (New York)
2022-01-02,87,32,0,0,0
2022-01-09,36,23,0,0,0
2022-01-16,36,0,25,0,0
2022-01-23,29,27,0,0,0
2022-01-30,41,27,0,0,46
2022-02-06,18,18,0,0,25
2022-02-13,63,17,0,0,27
2022-02-20,44,23,0,0,0
2022-02-27,47,0,24,0,14
2022-03-06,40,0,12,0,14
2022-03-13,33,44,0,0,56
2022-03-20,23,32,18,0,24
2022-03-27,68,0,44,12,15
2022-04-03,15,20,10,0,0
2022-04-10,57,0,0,0,0
2022-04-17,72,14,0,0,26
2022-04-24,53,31,0,22,25
2022-05-01,38,13,11,0,14
2022-05-08,42,33,0,51,0
2022-05-15,82,36,0,0,0
2022-05-22,19,36,18,0,14
2022-05-29,15,23,0,35,0
2022-06-05,100,0,18,0,0
2022-06-12,18,45,17,23,0
2022-06-19,41,21,21,0,0
2022-06-26,84,44,0,19,15
2022-07-03,47,0,0,24,29
2022-07-10,63,35,0,0,0
2022-07-17,31,53,0,0,0
2022-07-24,82,0,0,0,0
2022-07-31,37,35,0,28,34
2022-08-07,91,37,0,0,0
2022-08-14,48,24,0,0,18
2022-08-21,66,26,0,0,0
2022-08-28,41,23,0,0,20
2022-09-04,33,39,11,0,0
2022-09-11,68,0,0,0,0
2022-09-18,45,30,0,0,15
2022-09-25,41,13,0,0,0
2022-10-02,11,32,0,0,0
2022-10-09,45,62,21,13,0
2022-10-16,56,30,16,13,12
2022-10-23,77,0,0,0,0
2022-10-30,23,50,0,17,0
2022-11-06,50,60,0,0,0
2022-11-13,44,48,21,0,14
2022-11-20,59,30,0,16,0
2022-11-27,56,16,13,0,0
2022-12-04,91,19,0,0,21
2022-12-11,48,29,0,0,0
2022-12-18,100,37,15,0,0
2022-12-25,82,42,0,0,20
