Category: All categories

Week,korean makeup: (Texas),korean cosmetics: (Texas),korean skincare: (Texas),kpop makeup: (Texas),korean beauty product: (Texas)
2022-01-02,40,44,54,0,0
2022-01-09,63,0,40,49,0
2022-01-16,16,0,0,0,0
2022-01-23,59,0,30,0,0
2022-01-30,0,0,24,0,0
2022-02-06,60,15,39,21,0
2022-02-13,0,17,34,30,0
2022-02-20,43,0,50,0,0
2022-02-27,38,53,81,0,0
2022-03-06,33,0,41,20,0
2022-03-13,96,15,26,21,0
2022-03-20,28,0,46,0,0
2022-03-27,22,0,63,0,0
2022-04-03,25,0,35,19,0
2022-04-10,65,0,42,61,0
2022-04-17,54,0,53,14,0
2022-04-24,45,0,39,0,0
2022-05-01,23,13,37,10,0
2022-05-08,0,0,36,12,0
2022-05-15,0,0,14,0,0
2022-05-22,13,0,0,16,0
2022-05-29,56,20,41,14,0
2022-06-05,40,0,76,0,0
2022-06-12,55,15,45,0,0
2022-06-19,26,17,63,15,0
2022-06-26,0,14,42,21,0
2022-07-03,52,41,84,0,0
2022-07-10,0,33,45,0,0
2022-07-17,46,16,0,0,0
2022-07-24,42,0,35,0,0
2022-07-31,65,0,59,0,0
2022-08-07,51,0,68,17,0
2022-08-14,37,0,40,15,0
2022-08-21,37,0,70,14,0
2022-08-28,41,0,21,0,0
2022-09-04,100,0,0,0,0
2022-09-11,60,0,58,0,0
2022-09-18,13,17,48,0,0
2022-09-25,53,0,45,0,0
2022-10-02,25,0,70,0,0
2022-10-09,35,0,48,0,0
2022-10-16,35,25,54,0,0
2022-10-23,43,17,79,0,0
2022-10-30,63,0,23,0,0
2022-11-06,28,17,28,0,0
2022-11-13,23,0,44,0,0
2022-11-20,40,24,94,19,0
2022-11-27,42,17,91,0,0
2022-12-04,21,0,73,0,0
2022-12-11,36,39,53,0,0
2022-12-18,58,0,89,0,0
2022-12-25,49,26,100,18,0
