Category: All categories

Week,kbbq: (Texas),korean food: (Texas),kimchi: (Texas),korean restaurant: (Texas),soju: (Texas)
2022-01-02,25,53,96,45,48
2022-01-09,20,55,72,33,42
2022-01-16,11,45,77,33,42
2022-01-23,15,55,70,34,44
2022-01-30,10,52,82,29,36
2022-02-06,13,58,84,35,49
2022-02-13,15,66,75,40,36
2022-02-20,10,55,72,39,41
2022-02-27,14,58,84,37,42
2022-03-06,13,61,73,41,46
2022-03-13,16,55,85,45,41
2022-03-20,12,49,63,32,33
2022-03-27,7,70,63,33,37
2022-04-03,10,52,66,32,32
2022-04-10,17,54,66,46,63
2022-04-17,19,55,76,32,43
2022-04-24,10,56,81,34,35
2022-05-01,16,51,65,32,35
2022-05-08,15,55,79,40,28
2022-05-15,13,51,76,36,36
2022-05-22,9,56,71,37,46
2022-05-29,12,52,76,45,51
2022-06-05,18,60,66,36,43
2022-06-12,14,53,67,49,39
2022-06-19,8,61,81,44,46
2022-06-26,14,60,75,41,41
2022-07-03,17,60,76,41,49
2022-07-10,23,51,78,40,47
2022-07-17,12,61,81,39,43
2022-07-24,14,60,85,38,38
2022-07-31,17,56,70,33,48
2022-08-07,17,48,66,42,41
2022-08-14,15,48,64,37,34
2022-08-21,14,58,64,42,34
2022-08-28,14,48,61,35,38
2022-09-04,16,55,77,35,34
2022-09-11,14,56,74,29,36
2022-09-18,18,52,62,32,27
2022-09-25,14,45,52,20,22
2022-10-02,10,50,70,25,33
2022-10-09,16,52,69,31,28
2022-10-16,11,52,65,35,25
2022-10-23,17,62,63,31,38
2022-10-30,17,51,65,32,35
2022-11-06,15,36,66,31,30
2022-11-13,16,53,71,36,33
2022-11-20,17,44,63,36,42
2022-11-27,8,43,66,33,34
2022-12-04,11,45,67,39,35
2022-12-11,16,48,69,33,31
2022-12-18,17,44,100,34,53
2022-12-25,25,66,100,52,80
