Category: All categories

Week,korean drama: (Texas),kpop: (Texas),korean movie: (Texas),learn korean: (Texas),kdrama: (Texas)
2022-01-02,11,78,11,2,31
2022-01-09,10,61,9,1,27
2022-01-16,9,53,7,1,23
2022-01-23,9,63,7,1,23
2022-01-30,10,63,9,2,26
2022-02-06,9,60,7,3,25
2022-02-13,8,58,7,1,25
2022-02-20,10,65,7,1,30
2022-02-27,7,63,8,1,34
2022-03-06,7,66,8,2,37
2022-03-13,9,74,7,2,43
2022-03-20,9,69,8,5,35
2022-03-27,7,64,6,2,28
2022-04-03,9,66,6,1,28
2022-04-10,7,63,8,2,35
2022-04-17,8,70,6,3,33
2022-04-24,6,60,6,2,32
2022-05-01,7,62,6,2,30
2022-05-08,9,59,7,1,31
2022-05-15,7,61,6,1,30
2022-05-22,7,66,6,2,26
2022-05-29,6,70,6,2,29
2022-06-05,8,65,6,1,30
2022-06-12,9,73,7,1,32
2022-06-19,9,70,7,2,30
2022-06-26,9,68,7,2,30
2022-07-03,10,77,8,1,31
2022-07-10,9,66,8,1,28
2022-07-17,10,74,9,2,28
2022-07-24,10,100,7,2,29
2022-07-31,10,89,10,1,28
2022-08-07,8,67,11,<1,25
2022-08-14,11,63,9,1,25
2022-08-21,10,65,7,1,20
2022-08-28,9,59,9,1,22
2022-09-04,8,60,7,1,28
2022-09-11,8,49,7,0,22
2022-09-18,6,57,7,2,23
2022-09-25,7,50,5,2,24
2022-10-02,7,57,5,2,27
2022-10-09,7,58,5,2,29
2022-10-16,5,50,6,0,24
2022-10-23,4,57,7,1,24
2022-10-30,7,62,5,0,27
2022-11-06,6,55,6,1,23
2022-11-13,7,56,6,2,27
2022-11-20,7,61,9,1,35
2022-11-27,5,59,7,1,29
2022-12-04,7,53,9,2,25
2022-12-11,6,55,7,1,23
2022-12-18,8,63,11,1,34
2022-12-25,8,74,7,1,36
