Category: All categories

Week,korea flight: (Texas),korea hotel: (Texas),korea airbnb: (Texas),korea vacation: (Texas),korea tourism: (Texas)
2022-01-02,20,40,14,24,0
2022-01-09,21,0,0,0,0
2022-01-16,25,34,15,0,0
2022-01-23,38,40,0,26,0
2022-01-30,19,0,13,0,0
2022-02-06,48,13,0,0,14
2022-02-13,46,0,0,11,18
2022-02-20,68,0,14,0,0
2022-02-27,25,0,0,0,0
2022-03-06,39,20,11,16,20
2022-03-13,58,21,16,0,28
2022-03-20,80,14,35,0,0
2022-03-27,54,13,0,0,20
2022-04-03,17,0,0,0,9
2022-04-10,46,28,0,0,19
2022-04-17,39,0,0,19,0
2022-04-24,100,31,0,0,0
2022-05-01,46,18,0,0,0
2022-05-08,48,40,0,0,0
2022-05-15,30,31,17,0,0
2022-05-22,46,44,0,0,0
2022-05-29,60,12,24,29,0
2022-06-05,0,34,0,0,0
2022-06-12,63,40,16,14,16
2022-06-19,41,28,0,15,0
2022-06-26,55,21,0,0,0
2022-07-03,13,12,0,0,0
2022-07-10,60,19,0,0,0
2022-07-17,75,28,11,0,0
2022-07-24,38,12,0,0,0
2022-07-31,59,0,0,16,0
2022-08-07,61,13,0,0,0
2022-08-14,68,0,29,0,12
2022-08-21,43,23,0,0,0
2022-08-28,68,0,0,0,0
2022-09-04,0,13,0,0,40
2022-09-11,17,0,0,0,12
2022-09-18,43,19,29,17,15
2022-09-25,41,13,0,0,0
2022-10-02,25,44,0,0,0
2022-10-09,64,23,19,0,15
2022-10-16,73,0,14,0,0
2022-10-23,27,28,19,0,11
2022-10-30,65,47,0,0,0
2022-11-06,29,0,0,0,0
2022-11-13,78,33,0,31,14
2022-11-20,40,0,0,0,0
2022-11-27,48,33,20,14,21
2022-12-04,44,16,30,0,11
2022-12-11,42,13,17,0,0
2022-12-18,43,33,29,0,0
2022-12-25,41,22,0,13,0
